2020-06-17 00:00:00.398 +02:00 [INF] {MetricsCollector} Collecting metrics in 30000 milliseconds interval
2020-06-17 00:00:00.443 +02:00 [INF] Starting IdentityServer4 version 3.0.0.0
2020-06-17 00:00:00.642 +02:00 [INF] Using explicitly configured authentication scheme Identity.Application for IdentityServer
2020-06-17 00:00:00.833 +02:00 [INF] Now listening on: https://localhost:5001
2020-06-17 00:00:00.839 +02:00 [INF] Now listening on: http://localhost:5000
2020-06-17 00:00:00.842 +02:00 [INF] Application started. Press Ctrl+C to shut down.
2020-06-17 00:00:00.843 +02:00 [INF] Hosting environment: Development
2020-06-17 00:00:00.845 +02:00 [INF] Content root path: C:\Users\Jan\source\repos\ServerStarter\ServerStarter\Server
2020-06-17 00:00:05.225 +02:00 [INF] HTTP GET / responded 200 in 119.7531 ms
2020-06-17 00:00:05.252 +02:00 [INF] HTTP GET /_framework/blazor.webassembly.js responded 304 in 9.8046 ms
2020-06-17 00:00:05.274 +02:00 [INF] HTTP GET /_framework/blazor.boot.json responded 200 in 2.4929 ms
2020-06-17 00:00:05.282 +02:00 [INF] HTTP GET /appsettings.json responded 304 in 0.1787 ms
2020-06-17 00:00:05.295 +02:00 [INF] HTTP GET /_framework/wasm/dotnet.3.2.0.js responded 304 in 0.8132 ms
2020-06-17 00:00:05.297 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.SignalR.Client.dll responded 304 in 1.0102 ms
2020-06-17 00:00:05.298 +02:00 [INF] HTTP GET /_framework/_bin/netstandard.dll responded 304 in 0.2904 ms
2020-06-17 00:00:05.298 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.DependencyInjection.Abstractions.dll responded 304 in 0.2913 ms
2020-06-17 00:00:05.299 +02:00 [INF] HTTP GET /_framework/_bin/System.Xml.Linq.dll responded 304 in 0.3533 ms
2020-06-17 00:00:05.301 +02:00 [INF] HTTP GET /_framework/_bin/System.dll responded 304 in 0.4252 ms
2020-06-17 00:00:05.301 +02:00 [INF] HTTP GET /_framework/_bin/System.Core.dll responded 304 in 0.8227 ms
2020-06-17 00:00:05.303 +02:00 [INF] HTTP GET /_framework/_bin/System.Memory.dll responded 304 in 0.3602 ms
2020-06-17 00:00:05.303 +02:00 [INF] HTTP GET /_framework/_bin/WebAssembly.Net.WebSockets.dll responded 304 in 0.6179 ms
2020-06-17 00:00:05.303 +02:00 [INF] HTTP GET /_framework/_bin/mscorlib.dll responded 304 in 0.3498 ms
2020-06-17 00:00:05.311 +02:00 [INF] HTTP GET /_framework/_bin/WebAssembly.Bindings.dll responded 304 in 6.1494 ms
2020-06-17 00:00:05.312 +02:00 [INF] HTTP GET /_framework/_bin/System.Numerics.dll responded 304 in 6.0831 ms
2020-06-17 00:00:05.313 +02:00 [INF] HTTP GET /_framework/_bin/System.Xml.dll responded 304 in 1.0267 ms
2020-06-17 00:00:05.313 +02:00 [INF] HTTP GET /_framework/_bin/System.Transactions.dll responded 304 in 0.3471 ms
2020-06-17 00:00:05.316 +02:00 [INF] HTTP GET /_framework/_bin/Mono.Security.dll responded 304 in 3.0597 ms
2020-06-17 00:00:05.318 +02:00 [INF] HTTP GET /_framework/_bin/System.Runtime.Serialization.dll responded 304 in 1.1297 ms
2020-06-17 00:00:05.319 +02:00 [INF] HTTP GET /_framework/_bin/System.ServiceModel.Internals.dll responded 304 in 1.1545 ms
2020-06-17 00:00:05.319 +02:00 [INF] HTTP GET /_framework/_bin/System.Net.Http.dll responded 304 in 0.4053 ms
2020-06-17 00:00:05.323 +02:00 [INF] HTTP GET /_framework/_bin/System.ComponentModel.Composition.dll responded 304 in 0.5746 ms
2020-06-17 00:00:05.323 +02:00 [INF] HTTP GET /_framework/_bin/System.Net.Http.WebAssemblyHttpHandler.dll responded 304 in 0.5419 ms
2020-06-17 00:00:05.326 +02:00 [INF] HTTP GET /_framework/_bin/System.IO.Compression.FileSystem.dll responded 304 in 0.4062 ms
2020-06-17 00:00:05.327 +02:00 [INF] HTTP GET /_framework/_bin/ServerStarter.Client.dll responded 200 in 31.6526 ms
2020-06-17 00:00:05.327 +02:00 [INF] HTTP GET /_framework/_bin/System.IO.Compression.dll responded 304 in 0.3003 ms
2020-06-17 00:00:05.328 +02:00 [INF] HTTP GET /_framework/_bin/System.Drawing.Common.dll responded 304 in 0.3758 ms
2020-06-17 00:00:05.331 +02:00 [INF] HTTP GET /_framework/_bin/System.Data.DataSetExtensions.dll responded 304 in 0.6798 ms
2020-06-17 00:00:05.333 +02:00 [INF] HTTP GET /_framework/_bin/System.Data.dll responded 304 in 0.2944 ms
2020-06-17 00:00:05.339 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.SignalR.Common.dll responded 304 in 0.3923 ms
2020-06-17 00:00:05.342 +02:00 [INF] HTTP GET /_framework/_bin/System.Text.Encodings.Web.dll responded 304 in 0.3078 ms
2020-06-17 00:00:05.344 +02:00 [INF] HTTP GET /_framework/_bin/System.Buffers.dll responded 304 in 0.3362 ms
2020-06-17 00:00:05.352 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.Connections.Abstractions.dll responded 304 in 0.7064 ms
2020-06-17 00:00:05.353 +02:00 [INF] HTTP GET /_framework/_bin/System.IO.Pipelines.dll responded 304 in 0.2618 ms
2020-06-17 00:00:05.355 +02:00 [INF] HTTP GET /_framework/_bin/System.Threading.Tasks.Extensions.dll responded 304 in 0.4283 ms
2020-06-17 00:00:05.357 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.Http.Features.dll responded 304 in 0.5669 ms
2020-06-17 00:00:05.360 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.Primitives.dll responded 304 in 0.3222 ms
2020-06-17 00:00:05.362 +02:00 [INF] HTTP GET /_framework/_bin/System.Runtime.CompilerServices.Unsafe.dll responded 304 in 0.3449 ms
2020-06-17 00:00:05.364 +02:00 [INF] HTTP GET /_framework/_bin/System.Text.Json.dll responded 304 in 0.4075 ms
2020-06-17 00:00:05.368 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Bcl.AsyncInterfaces.dll responded 304 in 0.3526 ms
2020-06-17 00:00:05.371 +02:00 [INF] HTTP GET /_framework/_bin/System.Numerics.Vectors.dll responded 304 in 0.4344 ms
2020-06-17 00:00:05.374 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.Options.dll responded 304 in 0.3982 ms
2020-06-17 00:00:05.375 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.Http.Connections.Client.dll responded 304 in 0.3488 ms
2020-06-17 00:00:05.379 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.Http.Connections.Common.dll responded 304 in 0.4237 ms
2020-06-17 00:00:05.383 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.Logging.Abstractions.dll responded 304 in 0.3899 ms
2020-06-17 00:00:05.387 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.SignalR.Client.Core.dll responded 304 in 0.4135 ms
2020-06-17 00:00:05.392 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.SignalR.Protocols.Json.dll responded 304 in 0.4581 ms
2020-06-17 00:00:05.395 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.DependencyInjection.dll responded 304 in 0.2979 ms
2020-06-17 00:00:05.396 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.Logging.dll responded 304 in 0.4515 ms
2020-06-17 00:00:05.397 +02:00 [INF] HTTP GET /_framework/_bin/System.Threading.Channels.dll responded 304 in 0.3546 ms
2020-06-17 00:00:05.399 +02:00 [INF] HTTP GET /_framework/_bin/System.Net.Http.Json.dll responded 304 in 0.3622 ms
2020-06-17 00:00:05.403 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.Http.dll responded 304 in 0.3696 ms
2020-06-17 00:00:05.405 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.Configuration.Abstractions.dll responded 304 in 0.3508 ms
2020-06-17 00:00:05.407 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.Configuration.Binder.dll responded 304 in 0.2594 ms
2020-06-17 00:00:05.409 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.JSInterop.dll responded 304 in 0.4488 ms
2020-06-17 00:00:05.412 +02:00 [INF] HTTP GET /_framework/_bin/ServerStarter.Shared.dll responded 304 in 0.3267 ms
2020-06-17 00:00:05.415 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.Authorization.dll responded 304 in 0.3224 ms
2020-06-17 00:00:05.418 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.Metadata.dll responded 304 in 0.3032 ms
2020-06-17 00:00:05.419 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.Components.Web.dll responded 304 in 0.2316 ms
2020-06-17 00:00:05.423 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.Components.Forms.dll responded 304 in 0.6214 ms
2020-06-17 00:00:05.425 +02:00 [INF] HTTP GET /_framework/_bin/System.ComponentModel.Annotations.dll responded 304 in 0.3072 ms
2020-06-17 00:00:05.426 +02:00 [INF] HTTP GET /_framework/_bin/System.ComponentModel.DataAnnotations.dll responded 304 in 0.2105 ms
2020-06-17 00:00:05.429 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.Components.dll responded 304 in 0.4014 ms
2020-06-17 00:00:05.430 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.Components.Authorization.dll responded 304 in 0.3392 ms
2020-06-17 00:00:05.434 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.Components.WebAssembly.dll responded 304 in 0.2976 ms
2020-06-17 00:00:05.436 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.Configuration.dll responded 304 in 0.2213 ms
2020-06-17 00:00:05.438 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.Configuration.Json.dll responded 304 in 0.3995 ms
2020-06-17 00:00:05.440 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.Configuration.FileExtensions.dll responded 304 in 0.3583 ms
2020-06-17 00:00:05.445 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.FileProviders.Physical.dll responded 304 in 0.3539 ms
2020-06-17 00:00:05.449 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.FileSystemGlobbing.dll responded 304 in 0.3994 ms
2020-06-17 00:00:05.458 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.FileProviders.Abstractions.dll responded 304 in 0.7587 ms
2020-06-17 00:00:05.462 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.JSInterop.WebAssembly.dll responded 304 in 0.4495 ms
2020-06-17 00:00:05.467 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.Components.WebAssembly.Authentication.dll responded 304 in 0.4245 ms
2020-06-17 00:00:05.471 +02:00 [INF] HTTP GET /_framework/_bin/ServerStarter.Client.pdb responded 200 in 1.7764 ms
2020-06-17 00:00:05.472 +02:00 [INF] HTTP GET /_framework/_bin/ServerStarter.Shared.pdb responded 304 in 0.4080 ms
2020-06-17 00:00:05.475 +02:00 [INF] HTTP GET /_framework/wasm/dotnet.wasm responded 304 in 0.3296 ms
2020-06-17 00:00:05.478 +02:00 [INF] HTTP GET /_framework/wasm/dotnet.timezones.dat responded 304 in 0.3524 ms
2020-06-17 00:00:06.266 +02:00 [INF] HTTP GET /_configuration/ServerStarter.Client responded 200 in 47.8844 ms
2020-06-17 00:00:06.406 +02:00 [INF] Invoking IdentityServer endpoint: IdentityServer4.Endpoints.DiscoveryEndpoint for /.well-known/openid-configuration
2020-06-17 00:00:06.481 +02:00 [INF] HTTP GET /_framework/_bin/System.Transactions.dll responded 200 in 3.6840 ms
2020-06-17 00:00:06.482 +02:00 [INF] HTTP GET /_framework/_bin/System.Net.Http.WebAssemblyHttpHandler.dll responded 200 in 7.0058 ms
2020-06-17 00:00:06.480 +02:00 [INF] HTTP GET /_framework/_bin/System.Threading.Tasks.Extensions.dll responded 200 in 5.3938 ms
2020-06-17 00:00:06.480 +02:00 [INF] HTTP GET /_framework/_bin/System.Buffers.dll responded 200 in 2.5610 ms
2020-06-17 00:00:06.486 +02:00 [INF] HTTP GET /_framework/_bin/ServerStarter.Client.pdb responded 200 in 8.3135 ms
2020-06-17 00:00:06.489 +02:00 [INF] HTTP GET /_framework/_bin/System.IO.Compression.FileSystem.dll responded 200 in 11.5086 ms
2020-06-17 00:00:06.490 +02:00 [INF] HTTP GET /_framework/_bin/WebAssembly.Net.WebSockets.dll responded 200 in 14.8775 ms
2020-06-17 00:00:06.493 +02:00 [INF] HTTP GET /_framework/_bin/WebAssembly.Bindings.dll responded 200 in 18.0560 ms
2020-06-17 00:00:06.494 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.SignalR.Client.dll responded 200 in 15.4938 ms
2020-06-17 00:00:06.494 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.DependencyInjection.Abstractions.dll responded 200 in 19.3277 ms
2020-06-17 00:00:06.495 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.Primitives.dll responded 200 in 2.0942 ms
2020-06-17 00:00:06.496 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.SignalR.Common.dll responded 200 in 9.8279 ms
2020-06-17 00:00:06.498 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.Http.Features.dll responded 200 in 2.2483 ms
2020-06-17 00:00:06.498 +02:00 [INF] HTTP GET /_framework/_bin/System.Memory.dll responded 200 in 0.3851 ms
2020-06-17 00:00:06.505 +02:00 [INF] HTTP GET /_framework/_bin/System.Data.DataSetExtensions.dll responded 200 in 3.3247 ms
2020-06-17 00:00:06.507 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.Connections.Abstractions.dll responded 200 in 28.5113 ms
2020-06-17 00:00:06.511 +02:00 [INF] HTTP GET /_framework/_bin/System.Text.Encodings.Web.dll responded 200 in 18.1232 ms
2020-06-17 00:00:06.522 +02:00 [INF] HTTP GET /_framework/_bin/System.Runtime.CompilerServices.Unsafe.dll responded 200 in 2.8260 ms
2020-06-17 00:00:06.529 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Bcl.AsyncInterfaces.dll responded 200 in 4.2555 ms
2020-06-17 00:00:06.543 +02:00 [INF] HTTP GET /_framework/_bin/System.Numerics.Vectors.dll responded 200 in 2.0564 ms
2020-06-17 00:00:06.543 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.Options.dll responded 200 in 19.1020 ms
2020-06-17 00:00:06.545 +02:00 [INF] HTTP GET /_framework/_bin/ServerStarter.Client.dll responded 200 in 49.0539 ms
2020-06-17 00:00:06.560 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.Http.Connections.Common.dll responded 200 in 9.6958 ms
2020-06-17 00:00:06.562 +02:00 [INF] HTTP GET /_framework/_bin/System.Net.Http.Json.dll responded 200 in 1.8984 ms
2020-06-17 00:00:06.562 +02:00 [INF] HTTP GET /_framework/_bin/System.Threading.Channels.dll responded 200 in 10.7487 ms
2020-06-17 00:00:06.562 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.Logging.Abstractions.dll responded 200 in 10.4649 ms
