2020-06-22 00:00:36.506 +02:00 [INF] Timed Hosted Service running.
2020-06-22 00:00:36.590 +02:00 [INF] Queued Hosted Service is running.
2020-06-22 00:00:36.717 +02:00 [INF] {AbstractConfigurationReader (MicrosoftExtensionsConfig)} The agent was started without a service name. The service name will be automatically discovered.
2020-06-22 00:00:36.723 +02:00 [INF] {AbstractConfigurationReader (MicrosoftExtensionsConfig)} The agent was started without a service name. The automatically discovered service name is ServerStarter_Server
2020-06-22 00:00:36.724 +02:00 [INF] {AbstractConfigurationReader (MicrosoftExtensionsConfig)} The agent was started without a service version. The service version will be automatically discovered.
2020-06-22 00:00:36.725 +02:00 [INF] {AbstractConfigurationReader (MicrosoftExtensionsConfig)} The agent was started without a service version. The automatically discovered service version is 1.0.0
2020-06-22 00:00:42.999 +02:00 [INF] {MetricsCollector} Collecting metrics in 30000 milliseconds interval
2020-06-22 00:00:43.045 +02:00 [INF] Starting IdentityServer4 version 3.0.0.0
2020-06-22 00:00:43.340 +02:00 [INF] Using explicitly configured authentication scheme Identity.Application for IdentityServer
2020-06-22 00:00:43.596 +02:00 [INF] Now listening on: https://localhost:5001
2020-06-22 00:00:43.597 +02:00 [INF] Now listening on: http://localhost:5000
2020-06-22 00:00:43.600 +02:00 [INF] Application started. Press Ctrl+C to shut down.
2020-06-22 00:00:43.601 +02:00 [INF] Hosting environment: Development
2020-06-22 00:00:43.602 +02:00 [INF] Content root path: C:\Users\Jan\source\repos\ServerStarter\ServerStarter\Server
2020-06-22 00:00:48.496 +02:00 [INF] HTTP GET / responded 200 in 150.6001 ms
2020-06-22 00:00:48.529 +02:00 [INF] HTTP GET /_framework/blazor.webassembly.js responded 304 in 10.2709 ms
2020-06-22 00:00:48.555 +02:00 [INF] HTTP GET /_framework/blazor.boot.json responded 200 in 2.3839 ms
2020-06-22 00:00:48.564 +02:00 [INF] HTTP GET /appsettings.json responded 304 in 0.1626 ms
2020-06-22 00:00:48.580 +02:00 [INF] HTTP GET /_framework/wasm/dotnet.3.2.0.js responded 304 in 0.8602 ms
2020-06-22 00:00:48.588 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.AspNetCore.SignalR.Client.dll responded 304 in 4.8683 ms
2020-06-22 00:00:48.600 +02:00 [INF] HTTP GET /_framework/_bin/Microsoft.Extensions.DependencyInjection.Abstractions.dll responded 304 in 16.0874 ms
2020-06-22 00:00:48.609 +02:00 [INF] HTTP GET /_framework/_bin/System.Xml.Linq.dll responded 304 in 8.3504 ms
2020-06-22 00:00:48.609 +02:00 [INF] HTTP GET /_framework/_bin/netstandard.dll responded 304 in 8.5427 ms
2020-06-22 00:00:48.613 +02:00 [INF] HTTP GET /_framework/_bin/WebAssembly.Net.WebSockets.dll responded 304 in 2.6224 ms
2020-06-22 00:00:48.613 +02:00 [INF] HTTP GET /_framework/_bin/System.Core.dll responded 304 in 2.6637 ms
2020-06-22 00:00:48.613 +02:00 [INF] HTTP GET /_framework/_bin/System.dll responded 304 in 2.6983 ms
2020-06-22 00:00:48.613 +02:00 [INF] HTTP GET /_framework/_bin/mscorlib.dll responded 304 in 0.2998 ms
2020-06-22 00:00:48.616 +02:00 [INF] HTTP GET /_framework/_bin/System.Memory.dll responded 304 in 3.1448 ms
2020-06-22 00:00:48.617 +02:00 [INF] HTTP GET /_framework/_bin/WebAssembly.Bindings.dll responded 304 in 0.9947 ms
2020-06-22 00:00:48.618 +02:00 [INF] HTTP GET /_framework/_bin/Mono.Security.dll responded 304 in 0.6802 ms
2020-06-22 00:00:48.618 +02:00 [INF] HTTP GET /_framework/_bin/System.Numerics.dll responded 304 in 1.1338 ms
2020-06-22 00:00:48.618 +02:00 [INF] HTTP GET /_framework/_bin/System.Xml.dll responded 304 in 1.0939 ms
2020-06-22 00:00:48.618 +02:00 [INF] HTTP GET /_framework/_bin/System.Transactions.dll responded 304 in 0.6232 ms
2020-06-22 00:00:48.620 +02:00 [INF] HTTP GET /_framework/_bin/System.Runtime.Serialization.dll responded 304 in 0.8588 ms
2020-06-22 00:00:48.624 +02:00 [INF] HTTP GET /_framework/_bin/System.ServiceModel.Internals.dll responded 304 in 1.1070 ms
2020-06-22 00:00:48.625 +02:00 [INF] HTTP GET /_framework/_bin/System.Net.Http.dll responded 304 in 0.2308 ms
2020-06-22 00:00:48.625 +02:00 [INF] HTTP GET /_framework/_bin/System.Net.Http.WebAssemblyHttpHandler.dll responded 304 in 0.2990 ms
2020-06-22 00:00:48.626 +02:00 [INF] HTTP GET /_framework/_bin/System.ComponentModel.Composition.dll responded 304 in 0.2266 ms
2020-06-22 00:00:48.628 +02:00 [INF] HTTP GET /_framework/_bin/System.IO.Compression.FileSystem.dll responded 304 in 0.8968 ms
2020-06-22 00:00:48.631 +02:00 [INF] HTTP GET /_framework/_bin/System.IO.Compression.dll responded 304 in 0.4621 ms
2020-06-22 00:00:48.634 +02:00 [INF] HTTP GET /_framework/_bin/System.Drawing.Common.dll responded 304 in 0.4703 ms
2020-06-22 00:00:48.634 +02:00 [INF] HTTP GET /_framework/_bin/ServerStarter.Client.dll responded 200 in 53.8436 ms
2020-06-22 00:00:48.636 +02:00 [INF] HTTP GET /_framework/_bin/System.Data.DataSetExtensions.dll responded 304 in 0.3570 ms
2020-06-22 00:00:48.638 +02:00 [INF] HTTP GET /_framework/_bin/System.Data.dll responded 304 in 0.3246 ms
